"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,2850,3000,3150,3200,3200,3300,3400,3172.5,3225,3125,3400,3000,3100,2995,3000,3000,3000,3000,2950,2800,2885,2850,2800,2800,2800,2795,2600,2700,2700,2595,2585,2550,2495,2450,2350,2429,2500,2407.5,2400,2400,2450,2450,2495,2500,2480,2400,2500,2500,2400,2400,2495,2500,2700,2762.5,2750,2700,2750,2800,2800,2800,2800,2800,2900,2995,3000,3000,3150,3100,3000,3099,3000,3000,3150,3300,3200,3200,3295,3261.5,3000,3300,3062.5,3300,3000,3095,3300,3495,3500,3500,3500,3495,3500,3500,3495,3400,3395,3400,3400,3400,3500,3500,3600,3500,3500,3500,3500,3500,3500,3500
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,,,,,,,,,,,2100,2200,2360,2475,2495,2435,2400,2350,2295,2150,2100,2100,2100,2160,2100,2176,2300,2200,2153,2021.5,1995,1834,1900,1800,1750,2000,1947,2200,2200,2260,2000,1900,1850,1772,1995,1880,1800,1895,2000,2260,2400,2375,2400,2260,2150,2200,2200,2125,2150,2200,2215,2400,2500,2475,2395,2173,2100,2150,1995,2000,2000,2150,2200,2400,2400,2495,2400,2000,1995,1895,1857.5,1800,1995,2100,2300,2500,2500,2500,2400,2200,2000,1995,2000,2095.5,2150,2400,2500,2700,2845,2700,2500,2400,2350,2300,2300,2350
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,1750,1750,1625,1600,1550,1500,1592.5,1595,1600,1595,1550,1525,1500,1525,1500,1500,1500,1500,1500,1495,1500,1475,1450,1495,1500,1525,1500,1400,1450,1450,1500,1500,1550,1550,1560,1572.5,1600,1600,1650,1600,1550,1600,1600,1500,1500,1550,1650,1695,1700,1750,1700,1700,1700,1700,1700,1700,1739,1750,1795,1775,1795,1799,1800,1795,1795,1795,1750,1750,1800,1827.5,1800,1800,1795,1800,1795,1700,1700,1650,1700,1700,1700,1795,1795,1795,1795,1795,1795,1750,1750,1750,1750,1750,1750,1800,1825,1845,1845,1800,1795,1750,1750,1750,1795
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,1245,1395,1395,1400,1395,1495,1300,1250,1325,1295,1295,1279,1331,1249,1295,1275,1250,1249,1250,1200,1250,1250,1249.5,1250,1200,1200,1200,1200,1300,1275,1325,1300,1250,1300,1300,1390,1295,1395,1500,1500,1500,1500,1550,1550,1512.5,1475,1302.5,1500,1500,1500,1450,1450,1395,1296,1396,1379.5,1395,1347,1350,1362.5,1400,1499,1500,1595,1595,1595,1595,1600,1550,1499,1550,1550,1588,1640,1550,1595,1650,1600,1622.5,1650,1600,1650,1600,1600,1650
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,2800,2900,2950,2950,2800,2700,2600,2500,2500,2550,2600,2562.5,2550,2500,2400,2460,2500,2500,2500,2495,2450,2462.5,2400,2462.5,2495,2500,2500,2500,2500,2595,2695,2695,2640,2500,2600,2595,2500,2500,2500,2700,2695,2700,2750,2700,2650,2700,2750,2850,2850,2800,2848.5,2850,2850,2850,2850,2844,2800,2800,2800,2848,2995,3000,2900,2950,2897.5,2850,2850,2895,2850,2895,2800,2995,3000,3000,3200,3300,3297.5,3200,3200,3200,3100,3000,3095,3200,3200,3250,3250,3400,3300,3400,3350,3300,3200,3250,3350,3300
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,3200,3350,3488,3300,3300,3200,3200,3150,3100,3100,3200,3210,3375,3100,3000,3200,3200,3200,3200,3100,3200,3100,3150,3100,3200,3200,3300,3300,3350,3400,3300,3300,3250,3300,3263,3295,3200,3200,3300,3400,3492.5,3500,3495,3500,3492.5,3400,3495,3500,3500,3490,3500,3500,3600,3550,3550,3500,3500,3550,3595,3550,3600,3550,3500,3500,3700,3595,3500,3495,3500,3600,3500,3650,3750,3800,3800,3800,3825,3800,3800,3800,3800,3795,3800,3800,3895,3895,3900,4000,3992.5,3950,3950,3900,3900,3900,3900,3900
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,2800,2950,3200,3200,3249.5,3400,3200,3000,3000,3000,3000,3150,3200,3200,3200,3399,3400,3300,3297,3200,3200,3200,3200,3200,3300,3599,3360,3400,3499,3500,3485,3300,3250,3300,3300,3300,3300,3400,3500,3600,3600,3599,3550,3500,3500,3500,3500,3500,3600,3600,3600,3650,3750,3848,3750,3300,3400,3200,3200,3349,3400,3500,3500,3500,3500,3499,3300,3300,3400,3382.5,3397,3500,3500,3600,3600,3599,3400,3468,3400,3400,3400
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,2499,2450,2400,2350,2350,2350,2300,2300,2300,2400,2400,2400,2450,2500,2400,2350,2400,2400,2390,2300,2300,2300,2350,2350,2450,2450,2500,2450,2400,2490,2500,2500,2450,2400,2400,2400,2450,2500,2500,2495,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2600,2575,2500,2510,2600,2650,2650,2675,2700,2600,2700,2650,2650,2600,2500,2500,2600,2500,2500,2600,2600,2700,2700,2800,2750,2750,2800,2750,2750,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2750,2700,2700,2799
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,1500,1450,1537.5,1600,1550,1480,1450,1450,1400,1395,1385,1395,1495,1395,1395,1450,1400,1400,1400,1400,1435,1400,1400,1400,1400,1400,1450,1425,1400,1450,1495,1450,1400,1475,1400,1400,1400,1450,1550,1575,1600,1597.5,1500,1500,1545,1575,1595,1600,1650,1650,1650,1700,1750,1799,1695,1650,1695,1700,1670,1695,1700,1700,1695,1737.5,1750,1795,1695,1675,1700,1650,1745,1745,1750,1847.5,1950,1950,1995,1950,1900,1875,1895,1895,1850,1800,1842.5,1895,1885,1900,1895,1850,1827.5,1850,1850,1850,1875
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,,,,,,,,,,,,,2300,2300,2200,2100,2072.5,2000,1885,1900,2150,2200,2300,2200,2200,2300,2350,2300,2200,2170,2375,2400,2400,2400,2499.5,2500,2600,2999.5,2800,2800,2999.5,3075,3000,3000,3000,3000,3000,3000,3250,3000,3000,3000,2900,2900,2900,3000,3000,3000,3200,3200,3171.5,3200,3200,3200,3200,3200,3000,3000,3050,3200,3400,3400,3350,3350,3272.5,3300,3398,3400,3200,3000,3000,3195,3100,3200,3200,3000,3200,3200,3200,3100,3200,3100,3000,2995,3000,3199,3200,3200,3200,3250,3158,3060,3000,3100
