"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3970,3500,3300,3600,3977.5,3850,3950,4000,4100,3997,3850,3800,3750,3800,3572.5,3800,3800,3900,4000,3999,3995,3995,3999,3880,3750,3975,3750
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2797.5,2700,2600,2475,2400,2495,2500,2495,2320,2395,2500,2850,2950,2875,2500,2600,2625,2600,2700,2800,2862.5,2800,2850,2675,3000,2650,2850,2800,2450,2500,2600,2500,2500,2695,2700,2697.5,2550,2600,2695,2690,2800,2600,2500,2400,2750,2725,2850,2972.5,2697.5,2700,2600,2612.5,2695,2700,2672.5
"San Diego County","CA","San Diego-Carlsbad","06","073",3,,,,,,,,,,,,,,,4000,3800,3800,3850,4000,3800,3800,3625,3500,3900,3800,3950,3500,3650,3800,3500,3400,3400,3295,3100,3250,3200,3499,3150,3499,3500,3400,3500,3499.5,3500,3400,3399.5,3572.5,3550,3500,3500,3500,3950,4000,4000,3800,3950,3981.5,3995,3995,3950,4000,3950,3995,3800,3900,3695,3750,3790,3800,3800,3797.5,3997.5,4000,4200,4200,3997.5,3925,3725,3695,3800,3800,3950,3800,4097.5,4500,4500,4400,4500,4450,4400,4500,4375,4295,4297.5,4200,4500,4600,4525,4300,4500,4575,4500,4500,4300,3995,4295,4500,4500
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",4,,,,5850,6500,6250,6400,6000,6000,5925,5500,4972.5,5000,5400,5590,5400,4725,4500,4575,4500,4700,4500,4500,4500,4397.5,4800,4500,4500,4500,4500,4399.5,4500,4200,4285,4300,4475,4500,4500,4775,4500,4800,4600,4500,4675,4300,4400,4500,4500,4500,4400,4500,4500,4500,4350,4400,4400,4500,4400,4500,4650,4600,4500,4500,4650,4500,4795,4747.5,4900,5000,4900,4972.5,4950,4900,4900,4500,4600,4925,4697.5,4500,4500,5000,4900,4440,4500,4747.5,5000,5500,5000,5250,5147.5,5000,5275,5500,5198,5190,5000,5275,5200,5200,5000,5125,5000,4950,4950,4950,5000,5000,5200
"Kings County","NY","New York-Newark-Jersey City","36","047",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,4200,4299,4295,4200,4200,4200,4000,4000,4200,4200,4000,4000,4172.5,4000,4500,4500,4500,4500,4400,4300,4491,4500,4500,4699,4500,4800,4800,4597,4699,4500,4300,4300,4400,4499,4300,4999.5,4800,4899,4700,4475,4600,4600,4250,3997,3925,4000,3797,4449.5,4500,4550,4500,4999,4900,4500,4300,4300,4200,4200
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4000,4150,4500,4400,4300,4200,4000,3800,3807,4000,3900,4200,4400,4500,4300,4300,4500,4500,4500,4500,4000,4000,4000,4250
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,2250,2500,2500,2500,2490,2457.5,2500,2500,2400,2425,2500,2500,2200,2225,2400,2497.5,2500,2495,2400,2100,2437.5,2495,2777.5,2500
"Queens County","NY","New York-Newark-Jersey City","36","081",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3797.5,3800,3800,3800,3249.5,2899,3300,3500,3600,3695,3550,3800,4000,3999,3800,3999,3500,3725,3550,3300,3300,3500,3400,3400,3500,3600,3500,3800,3500,3200,3699,3500,3550,3600,3650,4000,3550,3500,3550,3799.5,3947.5,3999.5,3800,3692
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",9,,,3000,2850,2600,2600,2850,2600,2700,2495,2475,2190,2275,2280,2300,2300,2300,2200,2195,2195,2195,2262.5,2200,2200,2250,2199,2172.5,2147.5,2195,2195,2150,2150,2190,2195,2100,2100,2195,2170,2100,2100,2095,2195,2195,2199,2195,2100,2150,2150,2150,2150,2150,2199.5,2200,2205,2260,2290,2200,2200,2200,2275,2300,2300,2300,2300,2309.5,2300,2300,2350,2400,2400,2400,2450,2350,2350,2395,2345.5,2395,2373,2350,2350,2350,2450,2450,2495,2499.5,2595,2550,2600,2597.5,2600,2600,2650,2600,2650,2672.5,2695,2700,2700,2785,2800,2724.5,2700,2700,2700,2695,2700,2700,2700
"San Bernardino County","CA","Riverside-San Bernardino-Ontario","06","071",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645,1850,1900,1900,2200,2165,2300,2200,1934.5,2100,2097.5,2197.5,2187.5,2325,2312.5,1900,2095,2272.5,2350,2197,2400,2400,2210.5,2287.5,2400,2595,2700,2600,2550,2500,2547.5,2600,2525,2747.5,2600,2500,2750,2700,2700,2700,2600,2750,2750,2800,2670,2697.5,2650,2650
