"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2400,2450,2495,2450,2500,2600,2600,2600,2650,2650,2650,2700,2695,2700,2700,2700,2750,2700,2600,2650,2650,2600,2800,2600,2799,2595,2695,2750,2800,2850,2900,2900,2850,2850,2850,2850,2817.5,2800,2800,2850,2850,2900,2950,2950,2900,2925,2900,2900,2950,2900,2900
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,1450,1450,1400,1450,1450,1450,1450,1500,1550,1596,1650,1575,1575,1550,1600,1595,1600,1600,1600,1600,1610,1600,1583,1600,1600,1650,1600,1550,1600,1600,1620,1625,1650,1600,1600,1600,1631.5,1620,1600,1600,1600,1600,1600,1650,1695,1680,1692.5,1685,1675,1675,1675,1750,1750,1750,1750,1750,1750,1702,1725,1700,1700,1750,1700,1725,1750,1750,1750,1700,1695,1700,1696.5,1700,1750,1750,1795,1750,1750,1701,1750,1700,1700,1695,1690,1700,1735,1740,1750,1795,1800,1800,1800,1795,1750,1750,1700,1749,1750,1790,1775,1800,1825,1845,1850,1800,1795,1770,1750,1750
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235,1270,1264,1224.5,1269.5,1267,1250,1250,1250,1276,1229.5,1250,1269.5,1265,1250,1250,1255,1250,1250,1250,1400,1385,1350,1350,1350,1350,1330,1345,1375,1399,1400,1395,1352.5,1350,1346,1316,1324,1300,1282,1300,1320,1275,1298,1295,1300,1300,1300,1275,1269,1282,1265,1275,1275,1282,1290,1300,1300,1300,1303.5,1300,1300,1300,1275,1287,1295,1293
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,1100,1100,1050,1100,1050,1100,1195,1150,1200,1200,1099,1050,1000,1095,1000,1000,999.5,995,1000,995,995,998,995,995,995,950,925,950,950,950,950,950,994,995,988,975,995,995,950,950,950,900,950,999,995,995,995,995,995,995,1062,1045,1050,1050,1025,1050,1050,1075,1070,1150,1180,1200,1200,1200,1195,1200,1200,1200,1200,1200,1200,1250,1250,1250,1175,1150,1107.5,1100,1088.5,1100,1150,1025,1195,1195,1200,1225,1200,1245,1250,1250,1250,1225.5,1223.5,1250,1253,1260,1295,1300,1299,1295,1300,1300,1300,1300,1300,1300,1300
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,2500,2300,2400,1995,1995,1897.5,1950,1900,1900,1850,1850,1850,1877.5,1850,1850,1800,1800,1800,1685,1650,1695,1695,1695,1750,1750,1775,1750,1700,1700,1725,1750,1700,1725,1695,1650,1850,1900,1895,1975,1995,1950,1900,1900,1980,2000,1995,2000,2100,2100,2095,2075,2088,2100,2000,2000,1995,1995,2000,2050,2100,2100,2100,2100,2100,2100,2100,2100,2090,2100,2102.5,2095,2150,2025,2000,2049,2147,2195,2200,2250,2300,2350,2350,2350,2300,2300,2300,2300,2300,2300,2350,2395,2400,2400,2400,2450,2400,2400,2400,2400,2400
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,2000,1990,1995,1900,1995,2175,2200,2100,2000,2007.5,2000,2000,2000,2000,2000,2000,2007.5,2100,2100,2000,2000,2000,2000,2000,2000,1995,1975,2000,2100,2100,2095,2100,2100,2050,2042.5,2000,2050,2050,2082.5,2100,2100,2100,1895,2150,2200,2200,2200,2200,2200,2200,2195,2250,2250,2295,2300,2350,2300,2300,2300,2300,2300,2350,2300,2350,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2395,2495,2400,2400,2400,2300,2500,2395,2482.5,2500,2500,2588,2595,2600,2600,2600,2600,2550,2590,2595,2600,2600,2600,2650,2650,2662.5,2650,2650,2650,2695,2700,2700,2700
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,1850,1800,1800,1800,1800,1850,1900,1950,1950,1922,1900,1900,1850,1900,1975,2000,2050,2200,2200,2195,2295,2300,2497.5,2500,2500,2600,2600,2600,2650,2700,2700,2700,2700,2650,2650,2650,2600,2650,2600,2612.5,2600,2678,2795,2800,2833.5,2800,2800,2750,2800,2800,2750,2700,2600,2600,2600,2650,2695,2600,2680,2680,2500,2500,2595,2600,2600,2662.5,2675,2700,2650,2650,2600,2550,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2495,2450,2400,2400
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,1800,1800,1800,1800,1850,1900,1990,1830,1850,1900,1700,1675,1650,1677.5,1700,1700,1700,1700,1700,1700,1750,1750,1750,1750,1800,1800,1800,1825,1800,1800,1790,1750,1750,1800,1800,1800,1850,1850,1900,1950,2000,1950,1900,1950,1950,1950,1925,1900,1900,1850,1900,1950,2000,1950,1950,1900,1950,1950,1950,2000,2100,2200,2200,2295,2300,2300,2200,2200,2200,2250,2290,2300,2300,2200,2200,2200,2100,2000,2085,2000,2150,1950,2000,2050,2100,2100,2100,2050,2050,2100,2100,2100,2090,2050,2100,2100,2150,2200,2200,2200,2200,2200,2200,2200,2200,2200,2150
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1300,1323,1350,1222.5,1200,1200,1200,1260,1295,1300,1300,1267.5,1280,1297,1250,1300,1300,1300,1350,1350,1300,1376.5,1350,1340.5,1372,1395,1372,1395,1395,1399,1375,1343,1343,1300,1350,1300,1330.5,1375,1350,1400,1400,1450,1482,1473,1475,1450,1450,1465,1425,1418.5,1405,1399,1400,1450,1500,1495,1500,1500,1495,1500,1500,1500,1523,1500
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,1600,1650,1600,1600,1500,1475,1600,1600,1550,1575,1500,1450,1410,1400,1437.5,1400,1495,1500,1595,1600,1600,1595,1595,1575,1575,1550,1550,1575,1550,1600,1650,1650,1650,1695,1695,1650,1675,1695,1750,1800,1850,1900,1950,1800,1850,1850,1850,1800,1800,1825,1950,1900,1950,1950,1950,1900,1900,1900,1950,1950,1950,1950,1980,2075,1999.5,2000,2100,2050,2100,2100,2075,2100,2100,2050,2000,2050,2050,2050,2050,2100,2100,2097,2100,2100,2100,2100,2150,2195,2195,2200,2200,2100,2100,2100,2100,2050,2090,2100,2100,2100,2000,2060,2050,2075,2000,2005,2025
