"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1785,1792.5,1785,1790,1800,1797.5,1595,1500,1517.5,1600,1500,1500,1500,1497.5,1500,1450,1475,1495,1400,1350,1325,1350,1395,1395,1400,1400,1400,1375,1375,1375,1385,1360,1350,1335,1350,1350,1390,1400,1449,1400,1400,1399.5,1395,1395,1395,1400,1395,1375,1390,1395,1475,1450,1545,1500,1450,1500,1525,1550,1595,1575,1600,1675,1600,1665,1675,1700,1675,1695,1800,1850,1950,1997.5,2100,2050,2100,1898.5,1995,1765,1795,1800,1750,1775,1850,1950,1995,2025,1995,1995,1995,1950,1945,1975,1950,1950,1895,1900,1950,1975,1995,1995,1995,1995,1995,1995,1995,1995,2000
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,1295,1312.5,1345,1215,1305,1275,1342,1396,1450,1375,1331.5,1336,1350,1400,1413,1470,1424.5,1400,1400,1400,1395,1400,1325,1300,1310,1400,1500,1501,1500,1500,1420,1450,1450,1484,1495,1550,1500,1530,1600,1597,1578.5,1600,1570,1530,1561,1610,1575,1500,1504,1523,1500,1550,1667.5,1600,1641,1650,1695,1550,1606,1780,1595,1603,1675,1672,1700,1635,1850,1995,2131,1895,1750,1865,1575,1500,1534,1550,1495,1500,1460,1446,1495,1500,1450,1475,1480,1495,1495,1500,1500,1550,1565,1599,1615,1629,1600,1600,1622.5,1650,1675,1700,1710,1700,1734,1650,1665,1625,1695
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1127,1267,1080,1035,1039,1200,1202,1250,1300,1306,1362,1200,1195,1200,1175,1229,1215.5,1229,1197,1150,1150,1142,1150,1180,1150,1200,1195,1196,1150,1195,1163,1195,1150,1170,1100,1100,1075,1077.5,1050,1095,1150,1129.5,1144,1100,1100,1100,1095,1075,1050,1062,1099,1075,1095,1100,1092,1050,1050,1050,1050,1095,1100,1050
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,747.5,770.5,750,795,749,650,650,653,649.5,650,650,665,667,660,669,650,675,695,711,750,750,725,725,750,750,750,775,725,725,725,749,705,700,695,699,725,700,700,775,750,775,750,750,775,750,769,761.5,772.5,775,840,799,800,800,781.5,795,795,775,750,750,849,850,869.5,900,900,900,940,925,900,899,900,895,895,895,900,917,925,925,962.5,950,925,925,905,900,950
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,,,1295,1350,1300,1290,1250,1250,1249.5,1290,1250,1325,1330,1295,1300,1300,1250,1200,1200,1200,1200,1200,1225,1250,1265,1300,1295,1295,1250,1250,1300,1270,1250,1275,1300,1375,1350,1350,1375,1450,1395,1421.5,1400,1400,1375,1395,1375,1350,1375,1350,1390,1395,1425,1495,1499,1500,1495,1500,1550,1550,1595,1595,1595,1597.5,1550,1525,1500,1595,1575,1500,1495,1595,1617.5,1650,1650,1650,1625,1675,1695,1695,1750,1695,1695,1700,1750,1745,1770,1775,1800,1795,1845,1800,1795,1750,1795,1800
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705,1650,1650,1700,1675,1650,1700,1637.5,1612.5,1650,1612.5,1750,1792.5,1767.5,1700,1650,1750,1750,1700,1695,1700,1902.5,1885,1765,1900,1800,1900,1950,1905,1895,1950,1950,1895,1780,1850,1900,2100,1995,2000,1975,1950,2072.5,2100,2050,2150,2200,2095,1930,1850,1895,2085,1950,1950,1995,2050,2050,2075,2095,2095,2090,2095,2095,2000,2000,2045,2045,1997,2095,2095,2100,2050,1995,2095,2100,2072.5,2000,2035,2000
"Kings County","NY","New York-Newark-Jersey City","36","047",7,1400,1625,1800,1800,1850,1700,1600,1600,1550,1502,1600,1550,1600,1675,1700,1700,1750,1800,1850,1800,1800,1800,1800,1850,1850,1900,1911,2000,2000,2135,2195,2100,2000,2000,2000,2000,2000,2000,2025,2200,2250,2299,2350,2400,2300,2300,2300,2250,2200,2250,2300,2400,2450,2450,2500,2500,2500,2500,2450,2450,2500,2500,2599,2700,2600,2500,2595,2595,2600,2595,2525,2525,2500,2500,2500,2500,2550,2599,2567,2600,2750,2650,2399,2400,2400,2400,2400,2475,2500,2500,2549,2500,2475,2400,2400,2399,2395,2400,2475,2500,2550,2600,2600,2550,2500,2495,2450,2450
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,,1500,1475,1475,1500,1500,1575,1600,1500,1500,1600,1550,1599,1500,1382.5,1400,1450,1450,1500,1580,1600,1600,1650,1900,2000,1950,1900,1950,2000,2100,2100,2150,2200,2250,2000,2100,2000,2100,2000,1850,1900,1900,1995,2012.5,2000,1950,2000,2000,1950,1950,2000,2000,2050,2105,2100,2150,2000,2000,2150,2100,2000,2000,2100,2175,2050,2000,2063.5,2100,2100,2200,2200,2200,2200,2250,2200,2200,2200,2250,2250,2250,2300,2300,2300,2200,2200,2200,2200,2150,2100,2150
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052.5,1155,1052.5,1200,1080,1170,1350,1413,1425,1275,1241,1279.5,1228,1160,1099.5,1077.5,1062,1026,1080,1150,1141,1150,1255.5,1320,1388,1282,1200,1175,1205,1175,1195,1100,1275,1299.5,1300,1350,1350,1352,1395,1457,1350,1320,1312.5,1298,1217,1200,1195,1095,1100,1095,1100,1092.5,1095,1195,1122.5,1100,1200
"Queens County","NY","New York-Newark-Jersey City","36","081",10,1600,1600,1600,1600,1650,1600,1600,1600,1600,1597.5,1600,1600,1600,1600,1600,1600,1600,1600,1625,1600,1600,1600,1600,1600,1600,1600,1650,1650,1675,1700,1744,1725,1734,1700,1700,1700,1700,1700,1700,1725,1800,1886,1900,1950,1995,1900,1950,1950,1925,1900,1975,2150,2150,2150,2075,2095,2100,2100,2050,2050,2000,2050,2050,2100,2150,2195,2200,2200,2200,2200,2200,2200,2200,2225,2225,2299.5,2295,2300,2300,2300,2300,2300,2150,2150,2100,2100,2115,2150,2200,2200,2250,2200,2200,2185,2150,2143,2150,2200,2200,2200,2225,2250,2300,2300,2250,2200,2200,2200
