"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,975,1050,1050,1200,1185,999,900,875,875,875,900,950,950,975,945,935,950,1000,984,1000,990,995,1050,1100,1100,1140,1120,1095,1100,1050,1100,950,1050,1059,1050,1003.5,1050,1100,1149.5,1200,1250,1200,1200,1214.5,1250,1275,1300,1335.5,1375,1331.5,1399,1399,1425,1400,1450,1450,1400,1503,1547,1589.5,1558.5,1650,1545,1640,1500,1534,1495,1521,1450,1475,1700,1850,1748,1701,1825,1899,1863,1875,1856.5,1795,1810,1773.5,1795,1795,1795,1845,1785,1800,1850,1800,1849.5,1858,1799,1800
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,,,,,,,1500,1550,1600,1450,1400,1339,1350,1356,1330,1300,1300,1325,1300,1265.5,1275,1250,1220.5,1216,1260,1279,1255,1300,1352.5,1360,1360,1363,1365,1375,1413,1400,1395,1413,1421,1430,1475,1488,1465,1428,1453.5,1453,1448,1425,1425,1474,1506,1557,1470,1577,1570,1498.5,1442.5,1500,1600,1509,1490,1500,1512,1500,1490,1500,1500,1510,1495,1500,1525,1495,1463.5,1470,1439,1430,1407.5,1425,1460,1490,1455,1470,1470,1450,1450,1450,1460,1488.5,1500,1525,1515,1500,1495,1500,1475,1460,1450,1450,1464,1485,1500,1452,1450,1450,1450,1489
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245,1200,1190,1200,1195,1155,1179.5,1239,1212,1259.5,1229,1194,1215,1215,1350,1339,1349,1325,1317.5,1355,1320,1333,1284.5,1254
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,1650,1500,1500,1412.5,1395,1350,1350,1295,1295,1295,1295,1200,1195,1195,1200,1200,1197,1150,1150,1145,1100,1100,1100,1100,1100,1100,1150,1175,1175,1150,1150,1125,1100,1100,1100,1100,1100,1125,1150,1150,1125,1150,1100,1150,1150,1150,1150,1150,1150,1150,1150,1200,1225,1216,1250,1225,1225,1250,1250,1250,1295,1300,1350,1350,1350,1300,1300,1300,1300,1295,1325,1350,1350,1395,1399,1350,1350,1350,1300,1300,1300,1325,1295,1350,1350,1395,1400,1435.5,1435,1425,1400,1400,1400,1400,1400,1400,1425,1450,1495,1500,1497.5,1500,1495,1495,1475,1495,1495,1495
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,1479.5,1521.5,1527.5,1475,1450,1505,1500,1635,1620,1643,1395,1450,1548,1523,1548,1588,1484,1471,1550.5,1400,1506,1395,1410,1495,1651,1715,1647.5,1700,1700,1650,1700,1650,1690.5,1650,1647,1679.5,1750,1750,1749,1800,1797,1830,1847,1815.5,1795,1799,1800,1803.5,1773
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,1697.5,1672.5,1867.5,1650,1650,1587.5,1650,1550,1600,1600,1600,1640,1590,1495,1550,1640,1600,1500,1300,1367.5,1236,1223.5,1217,1250,1274.5,1249,1217.5,1250,1290,1295,1300,1230,1250,1233.5,1295,1277,1292.5,1327,1345,1379,1575,1450,1550,1600,1575,1575,1547.5,1522.5,1595,1618,1594,1585,1605,1630,1625,1630,1645,1650,1685,1630,1600,1667,1730,1750,1782.5,1825,1800,1765,1775,1800,1795,1800,1800,1767.5,1790,1797,1802.5,1890,1807.5,1820,1810,1858,1845,1837.5,1835,1825,1845,1922.5,1910,1847.5,1865,1825,1840,1825,1825,1875,1875,1865,1875,1925,1975,2007,1995,1965,1919
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075,2200,2175,2150,2200,2290,2300,2300,2300,2250,2235,2250,2200,2100,2200,2200,2200,2200,2200,2200,2200,2200,2195,2100,2100
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,1350,1425,1450,1400,1375,1350,1350,1350,1350,1350,1400,1375,1350,1350,1350,1350,1400,1400,1425,1400,1400,1375,1400,1400,1400,1400,1450,1450,1475,1500,1500,1500,1500,1500,1500,1500,1500,1500,1550,1550,1550,1550,1550,1600,1600,1634.5,1600,1550,1550,1575,1575,1575,1650,1650,1650,1700,1700,1600,1605,1650,1625,1650,1650,1700,1700,1670,1650,1637,1600,1597,1600,1600,1545,1600,1500,1500,1550,1572,1575,1600,1600,1575,1600,1600,1594,1550,1550,1650,1550,1600,1654,1685,1700,1650,1625,1650,1629,1650,1650,1700
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,875,896,850,841,820,845.5,850,841.5,842,795,747,757,825,785,900,897.5,842,750,775,795,856,875,877.5,845,863,895,802.5,812,875,925,990,1000,1050,1012,985,975,975,980,980,1050,1080,1050,1000,1049,1095,1050,1075,1054.5,1041,1115,1095,1131,1162,1195,1088.5,1025,1060,1075,1100,1095,1124,1150,1185,1100,1103,1100,1100,1159.5,1150.5,1097.5,1165,1181,1170,1170,1175,1190,1190,1216,1225,1237,1250,1215,1232,1258,1200,1185,1210,1200,1200,1232.5,1205,1224,1242,1230,1234
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,1675,1650,1650,1650,1624.5,1600,1600,1600,1650,1650,1625,1600,1600,1600,1600,1600,1600,1600,1550,1450,1400,1375,1450,1500,1500,1500,1500,1400,1450,1425,1400,1400,1400,1400,1400,1400,1450,1475,1500,1600,1600,1700,1700,1675,1700,1700,1650,1650,1700,1975,2000,1980,1900,1850,1800,1725,1700,1700,1700,1730,1795,1795,1800,1800,1900,1900,1895,1925,1900,1890,1900,1900,1925,1900,1900,2000,1875,1900,1950,2000,1800,1800,1950,1950,1900,1950,2000,2050,2060,2005,2000,2000,2000,2000,2000,2000,2000,2000,2040,2050,2100,2100,2100,2050,2000,2000
