"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"California",1,,,,,,,,,,,,,2700,2695,2750,2800,2895,2800,2850,2800,2895,2700,2750,2620,2695,2695,2500,2500,2500,2500,2500,2450,2350,2350,2300,2300,2350,2300,2300,2300,2395,2400,2395,2495,2412.5,2344.5,2450,2400,2395,2395,2400,2600,2600,2650,2650,2649,2650,2685,2600,2650,2700,2800,2800,2850,2971,2950,2950,2950,2900,2800,2800,2850,2950,3000,3000,3195,2995,3100,3000,3000,3000,3200,2995,3000,3150,3287.5,3350,3500,3500,3500,3500,3400,3300,3295,3300,3200,3400,3300,3500,3500,3500,3550,3500,3500,3400,3450,3500,3475
"Texas",2,,,,,,,,,,,,,,2100,2195,2200,2200,2195,2150,2100,2000,2000,2000,1995,1995,2000,2000,2000,2000,2095,2000,1995,1990,2000,1950,1925,1995,2000,2095,2000,2050,2095,2099.5,2000,2000,2000,2100,2000,1995,1995,2050,2250,2300,2300,2300,2399.5,2295,2250,2250,2295,2250,2259,2395,2400,2500,2495,2495,2500,2550,2500,2450,2495,2500,2500,2500,2462.5,2500,2500,2495,2600,2495,2439,2400,2400,2399,2450,2500,2500,2499,2500,2495,2500,2500,2500,2495,2450,2450,2499,2500,2545,2595,2550,2500,2500,2550,2500,2550,2500
"Florida",3,,,,,,,,,,,,,,,,,,3000,3000,3100,3000,3000,3000,2950,2850,3200,3100,3200,3300,3350,3300,3200,3000,3000,3000,3000,2950,3000,2900,2950,2700,2900,2800,3000,3000,3000,3000,2950,2900,2850,2850,3000,3000,3200,2800,2800,2795,2800,2800,2800,2800,2750,2900,2800,2800,2800,2800,2700,2700,2850,2950,2950,2850,2900,2900,2850,2800,2775,2915,2950,2900,3000,2800,2800,2800,2849.5,2950,2900,2950,3000,3100,3000,3000,3097.5,3000,3000,3200,3200,3200,3100,3150,3185,3199.5,3100,3047.5,3200,3200,3199
"Pennsylvania",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1545,1700,1750,1800,1750,1695,1700,1600,1500,1762.5,2000,1967.5,1950,2000,1800,1800,1750,1605,1600,1550,1500,1740,1900,1865,1800
"Georgia",5,,,,,,,,,,,,,2000,1995,2000,2000,2000,2100,2000,2000,2000,1950,1975,1899.5,1895,1975,1950,1975,1950,1900,1892.5,1700,1790,1700,1700,1697.5,1650,1700,1700,1700,1700,1700,1650,1700,1655,1600,1625,1600,1550,1575,1600,1750,1700,1700,1719,1795,1800,1797,1799,1795,1759,1795,1797,1800,1900,1910,1900,1875,1872,1836,1800,1850,1895,1895,1950,1950,1950,1950,1900,1995,1950,2000,1912,1800,1875,1900,2000,1995,2000,2000,2000,1995,1950,1950,1995,1950,1950,1995,1995,1995,2072.5,2000,2000,1995,2000,2000,2000,2000
"North Carolina",6,,,2650,2495,2300,2195,1972.5,2000,2200,2150,2300,2199,1950,1850,1792.5,1789,1850,1900,1875,1850,1800,1700,1600,1800,1700,1695,1850,1922.5,1850,1800,1850,1900,1750,1750,1737.5,1800,1862.5,1800,1775,1750,1800,1800,1800,1800,1800,1795,1795,1750,1775,1790,1795,1800,1895,1850,1800,1795,1800,1800,1850,1912.5,1895,1895,1895,1850,1875,1850,1800,1800,1895,1835,1875,1895,1925,1995,2000,1900,1800,2000,1995,1917.5,1875,1912.5,1835,2000,1979.5,1995,2017.5,2000,2000,2054.5,1995,1995,1995,1999,1995,1995,1980,2000,2045,2045,2095,2100,2100,2100,2100,2050,2100,2100
"New Jersey",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3375,3500,3700,3500,3000,3000,2925,2900,2800,3000,3000,3200,3700,4000,3797.5,3500,3275,3000,2900,2899.5,3000,2900,3000
"Virginia",8,2250,2000,2197.5,2200,2300,2450,2395,2350,2295,2200,2195,2100,2165,2250,2195,2200,2295,2297.5,2300,2200,2200,2200,2225,2295,2200,2250,2350,2400,2395,2400,2339,2250,2200,2200,2200,2200,2200,2300,2325,2350,2300,2395,2450,2387.5,2300,2297.5,2250,2200,2250,2250,2300,2450,2500,2500,2500,2495,2350,2300,2297.5,2250,2200,2200,2395,2400,2500,2500,2450,2400,2362.5,2395,2400,2295,2250,2286,2250,2385,2300,2447,2500,2450,2470,2400,2300,2400,2300,2375,2425,2500,2600,2525,2500,2500,2500,2450,2500,2400,2375,2400,2499,2500,2550,2562.5,2500,2500,2450,2500,2495,2475
"Washington",9,,,,,,,,,,,,1600,1650,1750,1800,1930,1995,1800,1795,1825,1799.5,1800,1750,1750,1685,1650,1700,1700,1700,1750,1795,1700,1695,1595,1650,1650,1695,1695,1800,1800,1795,1800,1800,1697.5,1770,1792.5,1800,1750,1700,1700,1712.5,1900,1875,1895,1995,1900,1900,1895,1850,1895,1895,1900,1985,2000,1995,1995,2085,2100,2100,1992.5,1895,1997,1950,2100,1995,2160,2095,2225,2200,2200,2195,2250,2145,2262.5,2400,2500,2485,2500,2700,2600,2595,2595,2450,2390,2295,2295,2495,2526.5,2575,2695,2650,2695,2695,2700,2600,2595,2595,2562.5
"Massachusetts",10,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3900,3800,3700,3600,3700,3500,3600,3700,3900,3900,3800,3800,3800,3800,3800,3650,3600,3625,3600,3900,4200,4000,4100,4150,4000,3967.5,3850,3800,3850,3900,3800,4000,4200,4200,4000,4000,4000,3800,3800,3750,3600,3500,3700,4000,4375,4400,4300,4200,4150,4000,4000,4000,4000,3800,3712.5,4000,4495,4500,4400,4300,4300,4250,4200,4100,4100,3900,4200,4500,4700,4750,4600,4500,4500,4397,4250,4200,4100,4000,4400,4800,5000
