"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"California",1,2200,2095,2100,2000,2000,2150,2200,2150,2150,2100,2100,1975,1975,1920,1950,1950,1950,1950,1900,1875,1875,1850,1800,1800,1800,1800,1650,1600,1700,1695,1700,1750,1700,1700,1650,1695,1700,1695,1650,1675,1650,1600,1585,1775,1995,1950,1999,2000,1995,1950,1950,2050,2100,2100,2150,2200,2200,2195,2200,2200,2200,2200,2295,2295,2300,2300,2350,2350,2375,2395,2400,2400,2400,2445,2400,2350,2395,2350,2350,2400,2350,2450,2300,2400,2495,2500,2500,2595,2600,2600,2600,2600,2600,2550,2550,2550,2595,2600,2650,2650,2690,2650,2650,2650,2650,2695,2650,2650
"Texas",2,1200,1195,1200,1200,1195,1150,1125,1097.5,1200,1125,1100,1100,1095,1100,1100,1050,1095,1095,1000,995,995,979,999,999,1100,1050,875,838,900,840,850,925,925,977.5,955,900,925,950,920,940,979,1000,1000,1070,1150,1171.5,1165,1110,1115,1100,1125,1150,1150,1199,1200,1195,1175,1150,1100,1118,1150,1190,1290,1268,1250,1265,1265,1250,1265,1250,1250,1295,1299,1295,1250,1245,1209,1216,1250,1200,1200,1229,1200,1250,1250,1260,1295,1295,1300,1280.5,1265,1250,1250,1250,1250,1250,1250,1275,1300,1300,1300,1300,1300,1300,1295,1300,1300,1300
"New York",3,,,,,,,,,,,,,2500,2650,2700,2750,2750,2850,2900,2900,2900,2650,2500,2400,2599,2500,2550,2650,2700,2700,2750,2795,2850,2825,2900,2900,2900,2895,2900,2900,2800,2700,2795,2800,2950,3000,3000,3050,3050,3000,3000,3050,3100,3000,3000,3000,3000,2995,3000,3000,3000,3000,3000,3100,3125,3100,3100,3100,3008,3000,3000,3000,3000,3000,3000,3000,2951.5,2997,3000,2950,2995,2995,2900,2995,3000,3000,3100,3150,3185,3150,3050,3100,3000,3000,3000,3000,3000,2995,2995,3000,3000,3000,3000,3000,2995,2995,2990,2995
"Florida",4,,,,,,,,,,,,,1475,1450,1450,1450,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1425,1450,1450,1550,1500,1500,1600,1600,1650,1600,1590,1500,1500,1550,1550,1600,1600,1600,1600,1600,1595,1600,1600,1600,1650,1700,1750,1800,1800,1800,1800,1825,1850,1800,1850,1800,1800,1750,1700,1650,1650,1650,1650,1800,1600,1650,1650,1700,1700,1700,1700,1700,1788.5,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1850,1850,1850,1850,1850,1800
"Illinois",5,1350,1350,1350,1375,1397,1372.5,1350,1450,1475,1495,1537,1500,1500,1500,1535,1533,1550,1559,1560,1585,1550,1500,1500,1550,1550,1599,1501,1500,1550,1550,1575,1575,1600,1550,1550,1550,1560,1550,1550,1550,1550,1567,1574,1600,1600,1600,1600,1600,1600,1595,1595,1650,1650,1650,1650,1650,1650,1550,1650,1600,1600,1650,1625,1625,1650,1650,1650,1625,1600,1603,1600,1625,1650,1650,1685,1650,1650,1650,1650,1600,1600,1600,1600,1600,1650,1650,1665,1700,1700,1700,1725,1700,1685,1675,1650,1650,1650,1700,1700,1700,1750,1750,1775,1700,1700,1700,1695,1685
"Pennsylvania",6,,,,,,,,,,,,,1400,1400,1500,1500,1500,1450,1450,1450,1400,1404.5,1490,1350,1425,1375,1400,1450,1400,1400,1395,1350,1300,1325,1275,1250,1295,1300,1300,1275,1250,1200,1150,1250,1400,1400,1400,1375,1375,1395,1400,1475,1495,1350,1325,1450,1400,1400,1350,1400,1400,1492.5,1500,1500,1480,1495,1475,1400,1400,1400,1400,1400,1400,1447.5,1495,1500,1495,1465,1450,1450,1400,1400,1400,1445,1450,1500,1500,1550,1550,1525,1550,1550,1500,1500,1500,1500,1500,1500,1550,1575,1550,1550,1500,1500,1500,1500,1500,1500
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,977.5,1045,1000,1000,1100,1100,1100,1050,1100,1100,1075,1000,1037.5,995,1000,1000,997,1065,1100,1100,1100,1100,1150,1132,1100,1100,1100,1100,1144.5,1190,1200,1200,1245,1200,1200,1150,1197,1150,1195,1195
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299,1300,1250,1250,1250,1250,1250,1250,1300,1295,1275,1250,1200,1250,1275,1250,1220,1250,1375,1400,1375,1350,1350,1350,1350,1350,1375,1400,1410,1400,1400,1400,1400,1400,1400,1400,1400,1400
"Georgia",9,1095,1100,1100,1150,1150,1100,1000,1050,1050,1100,1175,1125,1100,1100,1100,1100,1100,1100,1100,1100,1050,1000,1012.5,1000,1000,950,925,980,1000,1000,1000,995,995,1000,1000,1000,1017.5,1084.5,1100,1050,1000,1000,975,1000,1050,1028,1050,1050,1050,1050,1050,1050,1025,1050,1095,1095,1100,1100,1000,1050,1050,1050,1150,1150,1200,1197,1195,1200,1200,1250,1200,1195,1200,1200,1200,1200,1195,1200,1200,1250,1250,1250,1250,1250,1250,1295,1300,1310,1325,1325,1300,1300,1299,1275,1267,1295,1300,1300,1325,1350,1400,1400,1350,1314,1300,1300,1300,1300
"North Carolina",10,900,937.5,950,990,995,950,925,995,995,995,975,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,825,850,850,850,850,850,850,850,800,825,835,830,845,825,815,825,815,849,890,895,877.5,875,875,875,850,895,895,895,895,875,875,875,885,900,850,850,865,850,850,875,890,825,850,895,850,850,900,900,925,945,925,950,950,950,950,935,995,995,999,1025,1050,1050,1050,1100,1050,1050,1082.5,1095,1075,1095,1075,1100,1125,1150,1100,1100,1100,1100,1125,1150,1150,1135
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2400,2350,2300,2200,2200,2170,2250,1950,1950,2000,2000,2000,2050,1725,1700,1650,1650,1700,1725,1725,1750,1750,1750,1750,1800,1800,1800,1800,1797,1750,1750,1750,1790,1795,1800,1837.5,1875,1850,1850,1850,1800,1775,1800,1800,1850,1850,1850,1850,1850,1875,1850,1850,1800,1800,1800,1775,1850,1845,1850,1850,1900,1900,1900,1850,1850,1800,1850,1850,1850,1850,1900,1900,1950,1950,1900,1900,1900,1875,1855,1900,1900
"Virginia",12,1335,1350,1350,1350,1395,1395,1395,1400,1412.5,1450,1450,1400,1395,1397,1447.5,1450,1475,1495,1495,1450,1410,1400,1400,1400,1400,1400,1400,1450,1495,1500,1450,1475,1450,1500,1450,1425,1450,1450,1495,1450,1495,1450,1450,1500,1550,1550,1500,1500,1500,1500,1500,1550,1575,1595,1575,1550,1550,1540,1550,1550,1550,1550,1575,1575,1600,1600,1600,1600,1595,1557.5,1550,1575,1560,1595,1597,1600,1595,1600,1600,1600,1595,1595,1500,1570,1595,1595,1600,1600,1650,1650,1625,1625,1600,1625,1625,1600,1600,1622.5,1650,1650,1650,1650,1650,1650,1650,1650,1692,1675
