"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"California",1,,1550,1595,1550,1562.5,1585,1600,1499.5,1480,1485,1495,1250,1250,1250,1250,1275,1250,1247,1200,1195,1190,1182.5,1175,1250,1275,1275,1275,1270,1200,1150,1150,1100,1150,1150,1150,1150,1175,1200,1200,1200,1195,1200,1200,1200,1250,1275,1250,1250,1250,1250,1275,1350,1295,1350,1295,1295,1295,1295,1300,1350,1350,1395,1450,1430,1495,1450,1500,1495,1495,1650,1713,1770,1825,1895,1895,1945,1750,1800,1650,1695,1695,1675,1695,1775,1800,1825,1895,1895,1850,1850,1850,1850,1895,1875,1875,1850,1850,1875,1900,1945,1900,1900,1900,1900,1899,1900,1900,1950
"Texas",2,,845,850,850,895,825,850,850,850,875,850,850,850,850,850,854,850,825,823,815,800,795.5,775,870,949,950,915,960,875,800,795,795,777,785,785,795,795,800,820,838.5,855,900,927,1017.5,1015,1040,995,1085,1025,1021,1033,989,945,937,1000,995,1004,1014,1000,1000,995,950,995,950,900,895,895,895,899,900,899,900,900,950,950,950,960,975,986.5,995,950,950,925,955,950,960,985,995,995,995,984,975,975,950,960,970,995,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"New York",3,,,,,,,,,,,,,,,,,,,,,2500,2550,2500,2585,2600,2600,2625,2650,2700,2700,2700,2700,2700,2700,2715,2695,2750,2750,2758.5,2800,2825,2800,2800,2850,2895,2795,2750,2700,2750,2795,2800,2850,2850,2500,2500,2500,2500,2500,2495,2495,2500,2500,2600,2645,2600,2550,2600,2600,2595,2500,2500,2500,2500,2500,2500,2550,2600,2600,2600,2600,2690,2600,2450,2500,2495,2475,2500,2500,2520,2556.5,2595,2517,2500,2450,2400,2400,2400,2450,2500,2522.5,2595,2600,2600,2550,2500,2492,2450,2450
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1550,1450,1400,1400,1450,1500,1450,1500,1450,1500,1500,1400,1400,1400,1400,1400,1400,1400,1450,1500,1550,1590,1650,1550,1590,1550,1506,1500,1550,1650,1650,1595,1600,1561,1600,1600,1620,1600,1600,1650,1629,1600,1600,1600,1650,1600,1650.5,1700,1650,1650,1600,1649,1650,1600,1600,1650,1650
"Illinois",5,,1250,1295,1300,1197.5,1197.5,1215,1300,1342,1370,1350,1302.5,1315,1340,1399,1400,1455,1400,1395,1395,1392,1375,1375,1295,1255,1295,1350,1435,1451,1450,1450,1390,1400,1395,1425,1425,1495,1450,1483,1550,1545,1534,1560,1530,1500,1513,1590,1525,1470,1495,1500,1475,1500,1635,1570,1600,1600,1640,1469,1545,1740,1557,1561,1612,1600,1650,1564,1773,1850,2000,1790,1650,1795.5,1500,1450,1495,1500,1450,1450,1400,1395,1400,1450,1395,1400,1400,1425,1450,1450,1459,1495,1500,1545,1550,1550,1510,1550,1575,1595,1600,1650,1675,1650,1688,1595,1600,1585,1631
"Pennsylvania",6,837.5,862.5,850,895,850,850,850,850,862.5,900,875,800,800,825,800,830,800,800,825,825,797.5,800,800,850,882.5,855,850,869,850,850,850,825,795,800,800,800,850,895,923,947.5,950,925,935,900,900,950,940,900,900,900,925,975,965,932.5,900,900,920,950,950,950,950,980,1000,1000,1000,1027.5,995,990,950,999,975,975,975,995,1000,1050,1000,995,900,900,895,895,895,900,950,965,1000,1000,1000,1000,975,975,965,995,995,975,975,995,1025,1000,995,995,950,900,925,950,950,950
"Ohio",7,,,,,,,,750,750,725,725,650,650,625,650,625,625,619,625,625,650,600,595,600,629.5,619,599,600,600,577.5,580,595,595,595,575,565,565,580,595,585,575,575,585,595,595,599,600,575,595,595,599,599,595,599,599,600,625,600,600,600,600,647,650,650,636,600,600,625,615,625,650,650,650,675,690,700,675,650,698.5,625,695,650,690,650,695,700,709,705,695,699,699,700,700,700,700,700,699,715,700,715,715,720,700,725,725,735,725,725
"Michigan",8,,,,,,,,,,,,700,700,685,697.5,690,750,745,735,655,635,600,600,625,635,649,649,650,625,625,625,625,625,625,600,600,625,625,625,627.5,625,625,625,650,682.5,695,669.5,675,700,700,700,725,725,702.5,750,750,725,700,700,700,700,725,725,725,725,730,725,750,750,750,775,750,750,775,800,725,750,850,800,760,770,817.5,750,745,764.5,800,825,800,799,775,775,800,799,795,800,879,800,795,800,820,775,795,795,800,800,800,800,795
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,920,856,871,884,799,700,700,695,695,690,690,689,692,695,700,700,725,750,795,850,875,875,930,925,920,950,950,950,850,860,880,900,895,875,854.5,850,850,850,850,850,850,795,797,775,775,785,800,825,850,875,895,1000,1000,1050,1050,1050,875,850,850,800,850,899,950,925,950,950,950,940,895,900,899,899,869,900,975,950,962,1049,1092.5,1075,999,950,950,940.5
"North Carolina",10,575,620,612.5,675,600,625,650,675,650,637.5,737.5,695,715,715,700,700,700,695,700,695,695,685,675,675,700,723,720,700,700,690,685,685,679.5,680,660,675,677.5,680,717,700,698,675,675,695,715,700,700,700,700,710,737,735,725,736,749,700,700,700,700,700,700,700,725,699,700,700,695,695,675,695,700,700,700,725,750,775,765,775,747.5,777.5,726,725,725,700,750,738.5,765,775,785,775,759,750,750,750,795,795,750,750,773,795,795,795,799,785,800,800,800,795
