"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
"California",1,,1450,1700,1850,1600,1697.5,1650,1650,1600,1600,1575,1350,1355,1350,1325.5,1350,1297,1300,1326,1295,1195,1000,995,1075.5,1100,1150,1150,1151.5,1150,1145,1150,1175,1150,1160,1125,1125,1170,1200,1221,1235,1195,1195,1195,1219,1250,1050,1200,1245,1200,1160,1195,1275,1253,1295,1295,1375,1395,1400,1407.5,1444,1418,1495,1500,1472,1550,1545,1595,1600,1605,1575,1595,1695,1700,1745,1750,1770,1700,1795,1650,1723.5,1666,1695,1650,1710,1850,1850,1850,1840,1865,1900,1900,1905,1895,1860,1875,1875,1876,1880,1895,1933,1910,1930,1950,1950,1980,1975.5,1970,1964
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1150,1200,1225,1200,1195,1150,1100,1100,1100,1000,1050,1050,1100,1069,1095,1100,1150,1200,1195,1175,1200,1198,1195,1200,1200,1295,1300,1350,1325,1300,1299,1295,1300,1300,1300,1325,1350,1375,1400,1395,1388.5,1350,1350,1300,1300,1300,1300,1325,1350,1350,1350,1400,1395,1354,1355,1350,1350,1350,1350,1355,1400,1400,1425,1450,1400,1400,1395,1395,1390,1350,1375,1395,1400,1450,1475,1495,1450,1450,1425,1420,1415,1400
"New York",3,2000,2100,2300,2200,2350,2200,2000,2000,2100,2000,2300,2100,1985,2000,2095,2100,2100,2200,2200,2200,2107.5,2100,2089,2077,2100,2100,2150,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2225,2200,2249,2290,2275,2295,2300,2295,2295,2295,2295,2300,2340,2300,2275,2292,2300,2300,2300,2300,2300,2350,2400,2419,2450,2430,2495,2495,2400,2400,2400,2395,2386,2395,2400,2395,2375,2370,2350,2350,2350,2375,2200,2300,2400,2450,2475,2495,2500,2500,2495,2500,2450,2400,2400,2375,2400,2400,2450,2499,2500,2495,2475,2425,2400,2400,2400,2400
"Florida",4,,1400,1350,1350,1350,1400,1450,1450,1400,1400,1400,1350,1300,1300,1300,1300,1200,1250,1250,1250,1250,1250,1225,1200,1200,1225,1230,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1300,1300,1300,1300,1350,1350,1350,1450,1450,1495,1450,1400,1395,1350,1475,1475,1475,1450,1475,1450,1450,1450,1425,1425,1495,1500,1500,1500,1500,1500,1500,1515,1525,1525,1575,1595,1600,1600,1550,1500,1499,1450,1475,1500,1600,1450,1495,1500,1550,1595,1565,1600,1600,1650,1675,1650,1655,1687.5,1665,1650,1648.5,1700,1695,1695,1675,1685,1695,1665,1677,1700,1685
"Illinois",5,1350,1400,1475,1485,1462.5,1475,1500,1510,1550,1550,1600,1462.5,1400,1350,1363,1381.5,1350,1340,1340,1350,1300,1275,1275,1255,1230,1241,1280,1295,1285,1325,1375,1358.5,1350,1350,1350,1355,1400,1395,1395,1409,1410,1420,1465,1475,1454,1420,1450,1438,1412.5,1400,1400,1455,1500,1537,1450,1552.5,1540,1400,1400,1450,1550,1495,1452,1490,1496,1475,1450,1483.5,1475,1490,1450,1450,1480,1450,1425,1450,1415,1413,1400,1400,1439,1450,1435,1419,1400,1400,1400,1406,1422,1450,1450,1485,1462,1450,1425,1425,1407,1400,1400,1400,1411,1425,1450,1400,1395,1395,1395,1400
"Pennsylvania",6,,1290,1250,1250,1200,1200,1200,1200,1150,1250,1212.5,1050,1095,1100,1154.5,1100,1100,1200,1200,1200,1050,1000,1030,957.5,995,995,975,1007,1000,1000,1000,999,975,950,950,970,992.5,1099,1082.5,1025,1000,1000,999,1100,1050,1000,1000,1000,995,1000,1000,1100,1100,995,950,1100,1100,1100,975,1000,1000,1000,1100,1100,1150,1075,1050,1030,1045,1095,1057.5,1100,1100,1150,1195,1150,1100,1050,1095,1069,1100,1050,1095,1050,1050,1098,1100,1125,1150,1125,1150,1169.5,1150,1175,1110,1125,1135,1195,1197,1200,1190,1190,1150,1125,1100,1194,1175,1150
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,650,699.5,725,660,695,699,707.5,700,719,700,750,825,750,720,725,750,750,800,850,871.5,854,870,900,875,895,834,800,875
"Michigan",8,950,995,1000,1050,1100,1000,1097.5,1050,950,1000,975,850,850,850,900,925,900,925,950,895,800,775,775,795,795,800,800,800,790,792.5,800,800,800,800,770,750,775,800,780,785,775,800,800,800,800,800,800,800,800,800,800,800,800,800,825,850,850,760,822,825,800,800,825,850,850,850,850,850,850,850,850,850,850,850,875,875,875,900,900,900,925,900,875,895,850,895,895,900,925,950,925,950,950,935,900,900,900,903,950,950,950,950,950,995,975,970,950,950
"Georgia",9,,,,,,,,,,,,,1100,1100,1150,1172.5,1195,1137.5,1100,1100,1095,1000,1000,1000,995,997,995,1000,1000,1025,1000,1000,1000,1000,973.5,950,950,975,983,1025,1041,1050,1070,1100,1100,1050,1100,1095,1065,1050,1050,1095,1100,1100,1110,1127,1150,1107,1050,1000,1000,1040,1075,1050,1095,1100,1025,1025,1031.5,1100,1125,1100,1150,1200,1200,1200,1200,1200,1200,1213,1200,1200,1200,1200,1200,1235,1250,1285,1300,1295,1270,1250,1220,1221,1250,1250,1265,1295,1300,1310,1345,1350,1349,1300,1355,1385,1375,1370
"North Carolina",10,,,,,,,,,,,,,1175,1195,1250,1200,1200,1200,1195,1150,1100,1100,1100,1125,1100,1150,1175,1200,1200,1200,1195,1167.5,1150,1150,1100,1100,1095,1100,1150,1195,1200,1195,1175,1175,1175,1195,1195,1195,1175,1195,1195,1250,1250,1250,1245,1250,1225,1225,1200,1250,1195,1200,1225,1200,1200,1275,1250,1200,1200,1199,1200,1200,1250,1256,1295,1300,1300,1349,1300,1275,1273,1284,1275,1297,1300,1350,1395,1395,1395,1358,1350,1350,1345,1347,1350,1300,1345,1370,1375,1375,1390,1399,1390,1381,1355,1355,1375,1375
